,product_name,url,current_price,old_price
111,Back in Action Long Sleeve *Rulu,https://shop.lululemon.com/p/tops-long-sleeve/Back-in-Action-LS-Rulu-MD/_/prod9491527,$74,$88
112,Up for Down Time Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/Up-for-Down-Time-LS-MD/_/prod10300113,$54,$78
113,Ever Ready Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/Ever-Ready-Long-Sleeve-MD/_/prod10390308,$39,$58
114,Swiftly Breathe Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/Swiftly-Breathe-LS-MD/_/prod10320002,$64,$78
115,Swiftly Tech Racerback 2.0,https://shop.lululemon.com/p/women-tanks/Swiftly-Tech-Racerback-2-MD/_/prod9910044,$39,$58
116,Keep The Heat Thermal Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/Keep-The-Heat-Thermal-Long-Sleeve-MD/_/prod9201308,$59,$98
117,Time to Restore Tank,https://shop.lululemon.com/p/women-tanks/Time-to-Restore-Tank-MD/_/prod9491418,$29,$54
118,All Aligned Mock Neck Long Sleeve *Crushed Velvet,https://shop.lululemon.com/p/tops-long-sleeve/All-Aligned-Mock-Neck-LS-CV-MD/_/prod10260081,$59,$88
119,Runderful Long Sleeve *Rulu™,https://shop.lululemon.com/p/tops-long-sleeve/Runderful-LS-MD/_/prod8260346,$64,$88
120,Swiftly Tech Short Sleeve 2.0 *Shibori,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Tech-SS-2-Shibori-MD/_/prod10410011,$64,$78
121,Run Briskly 1/2 Zip,https://shop.lululemon.com/p/tops-long-sleeve/Run-Briskly-half-Zip-MD/_/prod9201306,$69,$98
122,Love Crew III,https://shop.lululemon.com/p/womens-t-shirts/Love-Crew-IIi-MD/_/prod8720137,$29-$39,$48
123,Train to Be Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/Train-to-Be-LS-MD/_/prod9780178,$69,$78
124,All Yours Crop Tank,https://shop.lululemon.com/p/women-tanks/All-Yours-Crop-Tank-MD/_/prod9710405,$29,$48
125,Full Day Ahead Tank,https://shop.lululemon.com/p/women-tanks/Full-day-Ahead-Tank-MD/_/prod9850002,$34,$64
126,Love Crew *Fade,https://shop.lululemon.com/p/womens-t-shirts/Love-Crew-Fade-MD/_/prod9280259,$29-$44,$54
127,All Yours Tank,https://shop.lululemon.com/p/women-tanks/All-Yours-Tank-MD/_/prod9780099,$29-$39,$44
128,All Yours Tee *Tie Dye,https://shop.lululemon.com/p/womens-t-shirts/Tee-Cloud-Wash-MD/_/prod10410008,$54,$64
129,Emerald Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/Emerald-Long-Sleeve-MD/_/prod9230268,$49,$58
130,See The Horizon Tank,https://shop.lululemon.com/p/women-tanks/See-The-Horizon-Tank-MD/_/prod9491416,$29,$48
131,Love Crew *Splatter,https://shop.lululemon.com/p/tops-short-sleeve/Love-Crew-Splatter-MD/_/prod10400429,$44,$54
132,Rest Less Pullover *Bubble Dot,https://shop.lululemon.com/p/tops-long-sleeve/Rest-Less-Pullover-BD-MD/_/prod10310010,$64,$88
133,Cut Back Crop Tank,https://shop.lululemon.com/p/women-tanks/Cut-Back-Crop-Tank-MD/_/prod8670155,$29,$38
134,Swiftly Breeze Short Sleeve *Relaxed Fit,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Tech-SS-Breeze-MD/_/prod10210219,$59,$68
135,Swiftly Tech Racerback,https://shop.lululemon.com/p/women-tanks/Run-Swiftly-Racerback-MD/_/prod2820001,$39,$58
136,All Yours Tee *Veil,https://shop.lululemon.com/p/tops-short-sleeve/Tee-Burnout-MD/_/prod9370360,$59,$68
137,Sculpt Tank *Cropped,https://shop.lululemon.com/p/women-tanks/Sculpt-Tank-Cropped-MD/_/prod10030005,$39,$48
138,Love Tank *Pleated,https://shop.lululemon.com/p/women-tanks/Love-Tank-Pleated-MD/_/prod8980109,$29,$38
139,Sculpt Tank,https://shop.lululemon.com/p/women-tanks/Sculpt-Tank-MD/_/prod7030032,$39,$58
140,Close to Crossing Long Sleeve *Rulu,https://shop.lululemon.com/p/tops-long-sleeve/Close-to-Crossing-LS-Rulu-MD/_/prod9491451,$59-$64,$88
141,It's Rulu Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/Its-Rulu-Long-Sleeve-MD/_/prod9201315,$64,$88
142,All Tied Up Tank *Wash,https://shop.lululemon.com/p/women-tanks/All-Tied-Up-Tank-Wash-MD/_/prod9980094,$29,$48
143,Cates Tee,https://shop.lululemon.com/p/tops-short-sleeve/Cates-Tee-MD/_/prod9280263,$39,$48
144,All Yours Tee *Stripe,https://shop.lululemon.com/p/womens-t-shirts/All-Yours-Tee-Stripe-MD/_/prod10050019,$54,$64
145,Cinch it Up Tank Top,https://shop.lululemon.com/p/women-tanks/Cinch-it-Up-Tank-Top-MD/_/prod10390331,$29-$39,$54
146,Back In Action Short Sleeve,https://shop.lululemon.com/p/womens-t-shirts/Back-In-Action-Ss-MD/_/prod8850034,$44,$48
147,All Days Shirt,https://shop.lululemon.com/p/tops-long-sleeve/All-Days-Shirt-MD/_/prod10300067,$39,$118
148,To The Beat Tank *lululemon X SoulCycle,https://shop.lululemon.com/p/women-tanks/To-The-Beat-Tank-MD/_/prod9201249,$49,$68
149,Ebb To Street Tank *Light Support For B/C Cup,https://shop.lululemon.com/p/women-tanks/Ebb-To-Street-Tank-MD/_/prod6960008,$39,$58
150,Clear Intention Shirt,https://shop.lululemon.com/p/womens-t-shirts/Clear-Intention-Shirt-MD/_/prod9920074,$29,$98
151,Azal Long Sleeve *lululemon lab,https://shop.lululemon.com/p/tops-long-sleeve/Azal-LS-Print-MD/_/prod10260125,$89,$148
152,Swiftly Tech Racerback High Neck 2.0 *Shibori,https://shop.lululemon.com/p/women-tanks/Swiftly-Tech-Tank-Shibori-MD/_/prod10400618,$39,$58
153,Ever Ready Long Sleeve *Brushed Modal,https://shop.lululemon.com/p/tops-long-sleeve/Ever-Ready-Long-Sleeve-Modal-MD/_/prod10410024,$44,$64
154,Esker Cropped Tank *lululemon lab,https://shop.lululemon.com/p/women-tanks/Esker-Cropped-Tank-MD/_/prod9491557,$49,$108
155,Cates Tee *Veil,https://shop.lululemon.com/p/womens-t-shirts/Cates-Tee-Veil-MD/_/prod10210207,$39,$58
156,Adapt to You Tank,https://shop.lululemon.com/p/women-tanks/Adapt-to-You-Tank-MD/_/prod10140105,$29-$39,$49
157,Sarala Short Sleeve Tee *lululemon lab,https://shop.lululemon.com/p/men-ss-tops/Sarala-SS-Tee-MD/_/prod10210191,$39,$98
158,Full Day Ahead Shirt,https://shop.lululemon.com/p/tops-long-sleeve/Full-Day-Ahead-Shirt-MD/_/prod9710365,$29,$98
159,Sheer Will Tank *Pulse,https://shop.lululemon.com/p/women-tanks/Sheer-Will-Tank-Pulse-MD/_/prod9790034,$29,$58
160,Stronger as One Muscle Tank,https://shop.lululemon.com/p/women-tanks/Stronger-as-One-Muscle-Tank-MD/_/prod10070226,$39,$58
161,Dynamic Days Tank,https://shop.lululemon.com/p/women-tanks/Dynamic-Days-Tank-MD/_/prod10040063,$49,$68
162,Kosaten Long Sleeve *lululemon lab,https://shop.lululemon.com/p/tops-long-sleeve/LAB-Kosaten-LS-MD/_/prod10000130,$39,$148
